algorithm,hypothesis,year,ftest_lags&p_value,adf_dist_p_values,adf_dist_diff_order,adf_price_p_values,adf_price_diff_order
MCS,$H_0$,2018,"1 (0.6810), 2 (0.3364), 3 (0.4409), 4 (0.3643), 5 (0.0177)",[0.0],0,"[0.9282, 0.0]",1
MCS,$H_A$,2018,"1 (0.9302), 2 (0.9928), 3 (0.9438), 4 (0.9762), 5 (0.9856)",[0.0],0,"[0.9282, 0.0]",1
Jaccard,$H_0$,2018,"1 (0.8064), 2 (0.9075), 3 (0.7116), 4 (0.0956), 5 (0.0152)",[0.0],0,"[0.9282, 0.0]",1
Jaccard,$H_A$,2018,"1 (0.4097), 2 (0.6844), 3 (0.8181), 4 (0.8481), 5 (0.8697)",[0.0],0,"[0.9282, 0.0]",1
VertexRanking,$H_0$,2018,"1 (0.4558), 2 (0.5347), 3 (0.3973), 4 (0.5119), 5 (0.6544)",[0.0],0,"[0.9282, 0.0]",1
VertexRanking,$H_A$,2018,"1 (0.7314), 2 (0.9189), 3 (0.7475), 4 (0.8511), 5 (0.6102)",[0.0],0,"[0.9282, 0.0]",1
VertexEdgeOverlap,$H_0$,2018,"1 (0.8400), 2 (0.9518), 3 (0.9901), 4 (0.7134), 5 (0.0643)",[0.0],0,"[0.9282, 0.0]",1
VertexEdgeOverlap,$H_A$,2018,"1 (0.3280), 2 (0.6859), 3 (0.8342), 4 (0.8564), 5 (0.9455)",[0.0],0,"[0.9282, 0.0]",1
BagOfCliques,$H_0$,2018,"1 (0.8611), 2 (0.8493), 3 (0.4953), 4 (0.2859), 5 (0.1821)",[0.0],0,"[0.9282, 0.0]",1
BagOfCliques,$H_A$,2018,"1 (0.3033), 2 (0.7122), 3 (0.9144), 4 (0.9399), 5 (0.9742)",[0.0],0,"[0.9282, 0.0]",1
BagOfNodes,$H_0$,2018,"1 (0.7629), 2 (0.7331), 3 (0.8574), 4 (0.7663), 5 (0.1145)",[0.0],0,"[0.9282, 0.0]",1
BagOfNodes,$H_A$,2018,"1 (0.4145), 2 (0.6963), 3 (0.7093), 4 (0.8231), 5 (0.9106)",[0.0],0,"[0.9282, 0.0]",1
WeisfeleirLehmanKernel,$H_0$,2018,"1 (0.9440), 2 (0.7309), 3 (0.7735), 4 (0.8533), 5 (0.7888)",[0.0],0,"[0.9282, 0.0]",1
WeisfeleirLehmanKernel,$H_A$,2018,"1 (0.7189), 2 (0.4186), 3 (0.5191), 4 (0.2579), 5 (0.2282)",[0.0],0,"[0.9282, 0.0]",1
